"domanda","opzioneA","opzioneB","opzioneC","opzioneD","soluzione","motivazione"
"1. In the past, Wide Area Networks (WAN):","Were intended as geographic networks designed mainly for low bitrate applications","Were intended as shared networks designed mainly to exchange large amount of data","Were intended as geographic networks designed mainly to exchange large amount of data","Were intended as campus networks designed mainly to connect several buildings to each other","A",""
"2. In the past, Local Area Networks (LAN):","Were intended as local networks designed mainly for low bitrate applications","Were intended as shared networks designed mainly to exchange large amount of data","Were intended as shared networks designed mainly for ""bursty"" application","Were intended as campus networks designed mainly to connect several buildings to each other","C",""
"3. In networks based on a shared communication medium:","While a station is transmitting, other stations cannot transmit","While a station is transmitting, other stations can transmit only if the previous communica- tion is not directed to them","While a station is transmitting, other stations can receive and transmit at the same time","All stations can transmit at any time without any risk of collision thanks to the presence of the switch","A",""
"4. In a LAN:","There is always a intermediate device that handles the frames","All devices have the same priority in getting access to the shared communication medium","All devices have the same priority in getting access to the shared communication medium, except a possible intermediate device that is privileged against other stations","If needed, we can configure a possible device (e.g. server) that has higher priority in getting access to the shared communication medium","B",""
"5. A shared communication medium technology is characterized by:","Broadcast communication, no intermediate sistems and high flexibility","Low cost, thanks to the deployment of level 2 communication devices (L2 Switch)","Reliability, privacy reasonably guaranteed for users, but impossibility to have multiple communications at the same time between hosts","Reliability, possibility to have multiple communications at the same time between hosts, but degree of privacy","A",""
"6. The OSI level named ""Data Link"":","Assumes that physical-layer functions are defined, which are the ones used to allow several networks technologies (e.g. Ethernet, WiFI) to communicate together","Can implements multicast/broadcast addresses that can be exploited for Solicitation and Advertisement functions","Defines how to generate bits over the channel","Can be divided into a LCC (Link Central Control) sublevel and a MAC (Medium Access Control) sublevel","B",""
"7. The OSI level named ""Physical"":","It is specified only for Ethernet networks","It is the same in all cabled networks (e.g. Ethernet, Token Ring, FDDI), and basically is derived from the specifications of the original Ethernet","It can be shared among several network technologies, witch however differ on Data-Link level (e.g., Ethernet and FDDI)","It defines the way to get access to the shared communication medium","C",""
"8. The LLC (Logical Link Control) sublevel:","It has almost disappeared from modern networks","It was never able to succeed on WiFi networks, which use another framing format instead","It is present in a few protocols operating on Ethernet networks","It defines 64 bit addresses to identify the level 3 protocol contained in the frame","C",""
"9. The MAC (Medium Access Control) sublevel:","It defines the arbitration mechanism in order to get access to the shared communication medium","It defines a field named ""Protocol Type"" that identifies the level 3 protocol contained in the frame","It is present in all LAN technologies, except in Ethernet where is usually replaced by LLC-SNAP","It defines how bits must transmitted over the physical channel","A",""
"10. MAC addresses:","Are allocated by government authorities","Are set by the user (or operating system) when the devices is used for the first time","Are set by the manufacturer: the first 3 bytes identify the vendor and remaining are defined by an algorithm that generates random 24 bits numbers","Are set by the manufacturer in each network interface card","D",""
"11. If the operating system of a station receives all the packets that are in fact received by the network interface card:","The station does not have an IP address","The station is connected to a switch","The station has a multicast MAC address","The network card is in ""promiscuous"" mode","D",""
"12. The difference between ""frame"" and ""packet"" is:","A frame identifies level 2 data, whereas a packet identify level 3 data","A frame identifies level 3 data, whereas a packet identify level 2 data","They are synonymous","A frame identifies Ethernet data, whereas a packet identify other protocols data","A",""
"13. If a host is connected for the first time to a shared Ethernet LAN and the user types the PING command toward an other station:","It generates immediately and ICMP Echo Request packet toward the destination, since we are on a shared communication medium","It generates first an ARP packet in order to know the destination MAC address of the destination host, that will reply with its IP address","If the destination host belongs to a different level 3 network, it must generate a packet that discovers the MAC address of its default gateway","It generates an ARP Request, that has the side effect of updating the filtering database of all stations","C",""
"14. A host ""A"" is turned on and connected for the first time to a shared Ethernet LAN. Then, the user types the PING command toward the server ""S"" ""www.polito.it"", which is connected to the same LAN. The first frame that will be generated on the network will be:","An ARP Request toward the DNS if ""S"" belongs to a different level 3 network","A DNS Query toward the DNS if ""A"" belongs to the same IP network of the DNS and the router","An ARP Request containing the router IP address in the ""Target IP Address"" field if ""S"" belongs to a different IP network compared to the host","An ARP Request containing the router IP address in the ""Target IP Address"" field if the DNS server belongs to a different IP network compared to the host","D",""
"15. A frame that contains the MAC address of a router as destination address:","It will have the IP address of the router as destination IP address","It will have the IP address of a station does not belong to local LAN as destination IP address","It will have the IP address of a station that belongs to local LAN as destination IP address","It will have the IP address of the router or the one of a station that does not belong to the same IP network of the source host as destination IP address","D",""
"16. Before an ICMP Echo Request packet, the trasmitting station:","It always generates an ARP Request","It always generates a DNS Query","It always generates an ARP Request and a DNS Query","It does not necessarily generate additional packets","D",""
"17. Main characteristics of a physical copper link, with respect to data transmission are:","Propagation speed (expressed as a fraction of the light speed), impedance of the line (expressed in AWG, American Wire Gage), size of the physical copper wire","Impedance of the line (expressed in AWG, American Wire Gage), size of the physical copper wire","Propagation speed (expressed as a fraction of the light speed), impedance of the line, size of the physical copper wire (expressed in AWG, American Wire Gage)","Propagation speed (expressed as a fraction of the light speed), impedance of the line, link length (expressed in AWG, American Wire Gage)","C",""
"18. The AWG (American Wire Gage):","Measures the signal attenuation","Indicates the maximum noise tolerated by the cable","Measures the size of the physical copper wire","Measures the size of the core of a fiber optic link","C",""
"19. The Cross-Talk:","Is called ""Alien"" if it generated by a generic external source of noise","Is due to attenuation of a signal into a copper wire","Is due to interference generated by the other physical links in the cable","It can be present if a plug is installed in the wrong way or if the wire has several curves on its path","C",""
"20. With respect to fiber optic cables:","Multimode fibers with led technology are the most recent and have the highest bandwidth","Multimode fibers have low dispersion rate and high bandwidth","Indoor cables do not need an external metallic shield","Singlemode fibers with laser technology are the most recent and have the highest bandwidth","D",""
"21. In structured cabling:","The structure usually follows a tree, in which several portions are aggregated together at different levels","It is a good rule to locate the Floor Distribution and the Building Distributor in the same room, so they can be connected to each other using short 10Gb cables","Usually a ring is preferred to a tree topology because of its robustness","Copper wires can span up to 100m, plus the additional patch cords at their ends (e.g. user station and network device)","A",""
"22. Copper wires in a data-center:","Are not used due to very high high communication speed requested","Are heavily used throughout the entire data-center mainly for budget reasons","Are used in some portions of the data-center (where cables are reasonably short), mainly for budget reasons","Are usually used to connect disks, which are characterized by lower speed than servers","C",""
"23. When transmitting on an Ethernet network, a station sends a ""jamming sequence"" if:","The current trasmission was succesfull","It wants to ""reinforce"" a collision","It wants to take the ownneship of the channel","It wants to release the channel","B",""
"24. After a collision on an Ethernet network:","All the stations can immediately compete for the ownership of the physical channel for a new transmission","The stations that generate the collision (and only these ones) can compete for the ownership of the physical channel","Stations that generated the collision must wait a random time, called ""back-off"", before competing again for the ownership of the physical channel","Only the station that generated collision (i.e., the station that started transmit later) must wait a random time, called ""back-off"", before competing again for the ownership of the physical channel","C",""
"25. In order to detect collisions on an Ethernet network, we need to consider:","Distance among stations, minimum frame size, signal propagation speed","Distance among stations, link bandwidth, minimum frame size","Distance among stations, link bandwidth, minimum frame size, signal propagation speed","Number of stations on the network, collision detection speed, minimum duration of the transmission","C",""
"26. To distinguish an Ethernet 2.0 (DIX) frame from an IEEE 802.3 frame:","We can check the ""Version"" field at the beginning of frame","We can check the value of the 2 bytes corresponding to the ""Ethertype"" field in Ethernet 2.0 (or ""Length"" field in IEEE 802.3)","We can calculate the size of the data carried in the frame; in case this value is is lower than 64 bytes, the frame is IEEE 802.3, otherwise it is Ethernet 2.0","We can look at the possible presence of an LLC SNAP envelope, that is only present in the IEE 802.3 frame","B",""
"27. Frames Ethernet 2.0 (DIX) and IEEE 802.3:","Are not compatible and have different sizes for the minimum frame","Are compatible, even if they have different sizes for the minimum frame","Are compatible, even if they have different sizes for the maximum frame","Are compatible, even if only the second can contain the ""Padding"" field","D",""
"28. In Ethernet, the Inter-frame gap is:","The required silence between a frame and the following","Empty data within the frame, which allow reaching the minimum frame size needed to detect a collision","The set of bytes sent on the channel acting as end frame delimiter","The time needed to send the bytes of the preamble (up to 7 bytes maximum)","A",""
"29. The maximum collision diameter in an Ethernet network:","Can be seen as the maximum length of a link between a host and a hub","Can be seen as the maximum length of a link between a host and a bridge","Does not change even if hubs are replaced by bridges in the network","It is approximately 200m in case of copper cables","B",""
"30. What does it happen to a PC with its network interface in Full Duplex Fixed mode if it is connected to a switch with its network interface in auto-negotiation mode?","The interface of the switch goes in half duplex mode and it may detect some fake collisions","The interface of the switch goes automatically into Full Duplex Mode","PC and switch will never be able to communicate","PC and switch will communicate without problems","A",""
"31. The handshake of the transmission speed among two Ethernet interfaces takes place:","At layer 1","At layer 2","At layers 1 & 2","Partially at layer 1 and partially at layer 2","A",""
"32. In an Ethernet network based entirely on switches with all links in Full Duplex Mode, how many collisions we may experience?","It depends on the size of the network","It depends on the number of the switches","It depends on the number of connected PCs","We do not have collisions","D",""
"33. The loss of connectivity between two L2 entities (e.g. host or switch), directly connected, can be immediately detected at the physical layer if the link is in:","Full duplex","Half duplex","Full duplex, with the other side of the link connected to a switch","Generally it cannot be detected","A",""
"34. A broken network cable can be immediately detected at the physical layer if the link is in:","Full duplex","Half duplex","Full duplex, with the other side of the link connected to a switch","Generally, a broken network cable will be immediately detected by the entities directly connected to the two edges of the cable itself","D",""
"35. The network is defined as ""switched"" when:","It contains only switches and end stations","It contains switches, hubs and end stations","It contains at least one router","It is based on a shared physical medium for communication","A",""
"36. In a switched network:","Loosing frames is a rare event thanks to the high speed of the switch","There are no lost frames thanks to the fact that there are no collisions","The number of lost frames may not be negligible because of congestions on the switches","There are no lost frames thanks to the use of Spanning Tree protocol","C",""
"37. Switches:","Usually have a single MAC address for the entire device","Have one MAC address per physical port","Do not have any MAC address (they are ""transparent"" indeed)","Have one MAC address per physical port plus one for each configured VLAN","A",""
"38. One of the reasons that motivates a network designer to use VLANs is:","Faster frame forwarding","Broadcast traffic reduction","Simplified management of Spanning Tree","Collision reduction","B",""
"39. Two PCs belonging to two different VLANs:","Can communicate normally by sending Ethernet frames directly to the other party","Can never send Ethernet frames directly to the other party","One of the two PCs must use a network interface with VLAN IEEE 802.1q tags support","Both PC must use a network interface with VLAN IEEE 802.1q tags support","B",""
"40. Two PCs directly connected to the same Hub (repeater):","Cannot belong to the different VLAN","Will always belong to the same VLAN","Can belong to different VLANs if they use a network interface compatible with the IEEE 802.1q standard","Can belong to different VLANs if they use a network interface compatible with the IEEE 802.1q standard, but there may be some delivery problem with respect to large packets","D",""
"41. Two stations configured in ""trunk"" mode and belonging to the same VLAN are connected to the same switch that does not support the IEEE 802.1q (VLAN) standard:","The stations cannot exchange data unless a router is being used","The stations cannot exchange data even if a router is being used","The stations can always exchange data even if a router is not being used","The stations can always exchange data even if a router is not being used, but there may be some delivery problem with respect to large packets","D",""
"42. According to the IEEE 802.1q (VLAN) standard, the connection between two switches:","It can be only of type ""Trunk""","It must never be of type ""Trunk""","It could be of type ""Access""","It could be of type ""Access"" only if the corresponding ports on the two switches are part of the same VLANS","C",""
"43. According to the IEEE 802.1q, the GVRP protocol (GARP VLAN Registration Protocol) is useful to:","Propagate automatically over the whole network the information about the existing VLANS","Assign to packets belonging to different VLANs different priorities","Configure dynamically the ports of a switch based on the configuration obtained from the network interface of the PC at the other side of the cable","Register the traffic of different VLANs","A",""
"44. According to the IEEE 802.1q standard, VLANs are configured on the switch:","On each port through an appropriate operation","By the manufacture and it is not possible to modify its configuration","By the manufacture and it is possible to change VLANs just for a restricted number of ports","Only on Trunk ports","A",""
"45. According to the IEEE 802.1q, the membership of a PC to a specific VLAN can be derived from:","The MAC address of the network interface of the PC, independently from the configuration of the switch","The IP address of the network interface of the PC, independently from the switch configura- tion","The MAC and IP addresses of the network interface of the PC, independently from the switch configuration","The configuration of the port on the switch connected to the PC","D",""
"46. A port is of type ""Trunk"" when:","It transmits only frames that do not include the IEEE 802.1q tag","It transmits only BPDU frames","It transmits only frames that include the IEEE 802.1q tag","It transmits only BPDU frames that includes the IEEE 802.1q tag","C",""
"47. When Broadcast Storm occurs within a VLAN:","The other VLANs are protected and do not perceives in any way this problem","The broadcast storm occurs also in the other VLANs","The broadcast storm occurs also in the other VLANs, unless a priority mechanism is being used to privilege the traffic of those VLANs","The other VLAN may suffer from delays because of the traffic on the trunk links","D",""
"48. The Spanning Tree protocol is used to:","Transform a network containing meshes into a tree, canceling loops","Manage multiple paths in load-balancing, providing redundancy in the network","Optimize the forwarding process","Update the filtering database","A",""
"49. The Spanning Tree protocol operates sequentially according to the following phases:","Root Ports selection, Root Bridge selection, Designated Ports selection","Root Bridge selection, Designated Ports selection, Root Ports selection","Root Bridge selection, Root Ports selection, Designated Ports selection","Root Ports selection, Designated Ports selection, Root Bridge selection","C",""
"50. The Spanning Tree Protocol can have two types of Bridge Protocol Data Unit (BPDU) frames:","Configuration and Topology Change Notification","Configuration and Topology Advertisement","Topology Change Notification and Topology Advertisement","Root Bridge Election and Topology Advertisement","A",""
"51. During the selection of the Root Bridge, the Spanning Tree process operates by analyzing the value of the following field present in the BPDU:","Root Identifier","Root Path Cost","Port Identifier","Bridge Priority","A",""
"52. According to the standard, the tree obtained by the Spanning Tree Protocol is computed:","Starting from the physical topology of the network, independently from the VLANS","Starting from the already configured VLANS","Starting from the already configured VLANs, creating a different tree for every VLAN","Starting from the physical topology of the network, taking into account the already configured VLANS","A",""
"53. We need the Spanning Tree because:","The learning process in bridges cannot operate when the L2 network contains loops","The forward learning process in bridges is not optimized in case of multiple paths toward the destination","In case the network contains multiple paths, the load balancing algorithm can generate frame reordering problems in the destination host","Frames can circulate forever since the Time-To-Live field in the Ethernet frame is not decremented by bridges","A",""
"54. Given two bridges connected to the same L2 network, in which the Bridge Identifiers are 32768-00:11:22:33:44:55 and 28672-00:22:33:44:55:66:","The first will become the root bridge","The second will become the root bridge","The value 28672 is not a valid Bridge Priority","The second bridge will become root for the VLAN 0, while the first will become root bridge for all the other VLANs","B",""
"55. Differently from the Spanning Tree Protocol, the Rapid Spanning Tree Protocol:","Supports networks that include Layer-1 hubs","Guarantees fast convergence time","Allows to use fiber optic in the network","Allows to use different VLANs in the network","B",""
"56. When a switch detects that one of its links gets interrupted, the Rapid Spanning Tree Protocol deletes the corresponding entries in the forwarding database:","When the forward delay timer expires","When the max age timer expires","Immediately","It will set the aging time of those entries to (Max Age Forward Delay) and then waits for them to expire","C",""
"57. The Rapid Spanning Tree protocol can guarantees a faster convergence if:","All the links are point-to-point","All the links operate in full-duplex mode","The network does not contain circular paths","The network is structured in a tree-like fashion","B",""
"58. The Multiple Spanning Tree protocol is useful because:","It reduces the broadcast domain of the network by dividing it into areas called Regions","It works in networks that include hubs","It guarantees faster convergence time with respect to STP and RSTP","It makes the network more scalable, by dividing it into areas called Regions","D",""
"59. According to the IEEE 802.1p standard, the priority can be associated to a packet:","Only by the port of the switch","Only by a network interface (NIthat support this type of function","Either by the port on the switch or by a network interface (NIthat support this function","Only by the application that generates the traffic","C",""
"60. The port of the switch connected to a station that is able to associate the ""priority"" to packets must be:","In Trunk or Access mode","Only in Trunk mode","Only in Access mode","One side of the cable in Trunk mode and the other one in Access","B",""
"61. The 802.1p standard defines:","Several classes of service for different kinds of traffic","Several priorities for different kinds of traffic","A Best-Effort class at lower priority with other ones (configurable as you want) at higher priority","A group of traffic classes served by a Round Robin scheduler","A",""
"62. The 802.3x standard defines:","A Pause packet to be used in case of host congestion","A Pause packet to be used in case of network congestion","A Pause packet to be used in case of congestion (host or switch)","A mechanism to assign priority to voice traffic","C",""
"63. The Pause packet in the 802.3x standard:","Is sent to the transmitting host in order to reduce the amount of traffic injected in the network","Is sent to the transmitting host in order to stop temporarily the traffic injected in the network","Is sent to the device connected at the other side of the link in order to reduce the amount of traffic injected in the network","Can cause temporary interruptions of the network traffic","D",""
"64. In a campus network with a 10Gbps backbone, in which we want to transport also voice traffic:","You do not need to configure any QoS mechanism","It is recommended to implement the 802.3x standard (Pause packets)","It is recommended to implement the 802.1p standard associating the highest priority to the voice traffic","It is reasonable to implement the 802.1p standard associating a portion of the transmission bandwidth to the voice traffic (""Round Robin"" scheduler)","D",""
"65. The IEEE 802.3ad standard (Link Aggregation) allows to:","Increase the bandwidth on a single point-to-point connection","Create a redundant point-to-point connection, without increasing the bandwidth","Create a redundant point-to-point connection and increase the bandwidth","Create a redundant point-to-point connection","C",""
"66. In the IEEE 802.3ad standard (Link Aggregation):","Both devices at the two ends of the link must support the 802.3ad standard","Defines a maximum number of ports that can be part of the logic aggregation","Requires that at least one of the devices at the two ends of the link supports the 802.3ad standard","Allows the links that are part of a logical aggregation to have different speeds","A",""
"67. The IEEE 802.3ad standard (Link Aggregation) has some limitations:","It exists a maximum number of ports that can be part of the logic aggregation","The aggregation can be used only on full duplex links","The aggregation can be used only on half duplex links","The links that are part of an aggregation must have different speeds","B",""
"68. The IEEE 802.3ad standard (Link Aggregation) has some limitations:","On the maximum number of ports that can be part of the logic aggregation","On the load balancing traffic criteria, that must be necessarily based on L2 information","On the links that are part of the aggregation, that must have the same speed","On the use of the Spanning Tree Protocol, that is not supported on logical aggregated links","C",""
"69. A motivation for the IEEE 802.3ad standard (Link Aggregation) is:","Allows to create a redundant connection in addition to a existing point-to-point link","Allows the concurrent usage of multiple links between 2 switches even in presence of the Spanning Tree Protocol","Makes the update of the filtering database faster, even when the Spanning Tree Protocol is used","Avoids congestions in the network due to the better utilization of the available bandwidth","B",""
"70. In case of the Link Aggregation standard, identify which sentence is wrong:","The links that are grouped in the same logical aggregate must have the same speed","The links that are grouped in the same logical aggregate must operate in full-duplex mode","The links that are grouped in the same logical aggregate must be attached to the same devices (unless some virtualization technologies such as Cisco VSS are used)","The links that are grouped in the same logical aggregate must be connected to a switch whose ports have the same Port Priority","D",""
"71. The IGMP Snooping mechanism allows:","To detect the presence of hosts over the LAN that are member of a multicast IPv6 group","To detect the presence of hosts over the LAN that are member of a multicast IPv4 group","To detect the presence of hosts over the LAN that are member of a multicast IPv6 or IPv4 group","To detect the presence of hosts over the LAN that are member of a IPv4 or IPv6 network","B",""
"72. The IGMP Snooping function:","Is normally implemented on all level 3 devices present on the LAN","Is normally implemented on level 2 devices present on the LAN","Is needed in order to debug the possible multicast traffic present on the LAN","Is occasionally used in modern devices, whereas it was important in the past","B",""
"73. In the IGMP Snooping function:","Router intercepts IGMP membership Report packets","Switch intercepts IGMP membership Report packets","Router intercepts both IGMP membership Query/Report packets","Switch intercepts IGMP membership Query/Report packets","D",""
"74. The IGMP Snooping function:","Affects all multicast traffic on the LAN","Affects all IP multicast traffic on the LAN","Affects a part of IP multicast traffic on the LAN","Affects the part of IP multicast traffic that does not make use of the IGMP protocol","C",""
"75. The HSRP and VSRP protocols are used to:","Propagate automatically the information related to the presence of VLANs in the network","Assign different priorities to packets belonging to different VLANs","Manage automatically the configuration (trunk/access) of the switch ports according to the configuration of the network interface of the PC connected on the other side of the cable","Provide default gateway redundancy","D",""
"76. A LAN in which the VRRP/HSRP protocols are active:","ARP replies are generated by the two routers in load balancing","ARP replies are always generated by the router that booted first","ARP replies are always generated by the primary router","ARP replies are always generated in multi cast","C",""
"77. The track functionality of the HSRP protocol can be used to:","Set automatically the IP address of the HSRP virtual router","Set dynamically the MAC address of the HSRP virtual router","Influence the selection of the interface in Active state according to the status of another interface","Influence the selection of the interface in Active state according to the IP address configured on the router","C",""
"78. HSRP messages are encapsulated in:","TCP","UDP","Directly into IP packets","Directly into Ethernet frames","B",""
"79. VRRP messages are encapsulated in:","TCP","UDP","Directly into IP packets","Directly into Ethernet frames","C",""
"80. In HSRP, the two main routers in a LAN can assume the following states:","Master or Slave","Active or Standby","Master or Backup","Active or Inactive","B",""
"81. In VRRP, the routers in a LAN can assume the following states:","Master or Slave","Active o Standby","Master or Backup","Active or Inactive","C",""
"82. In the transmission of HSRP messages, the TTL field of the corresponding IP packet is set:","To a random value; when the packet arrives to the router it will be discarded automatically, thus avoiding the forwarding out of the LAN","To value ""255"" and the routers are forced to discard HSRP messages that contain a TTL different from 255","To value ""0"", thus avoiding that the packet is forwarded out of the LAN","To value ""1"", thus avoiding that the packet is forwarded out of the LAN","D",""
"83. In the transmission of VRRP messages, the TTL field of the corresponding IP packet is set:","To a random value; when the packet arrives to the router it will be discarded automatically, thus avoiding the forwarding out of the LAN","To value ""255"" and the routers are forced to discard HSRP messages that contain a TTL different from 255","To value ""0"", thus avoiding that the packet is forwarded out of the LAN","To value ""1"", thus avoiding that the packet is forwarded out of the LAN","B",""
"84. In the HSRP protocol, the load balancing functionality on geographical links:","Is provided automatically","Is provided automatically only for the traffic exiting towards the Internet","Is provided automatically only for the incoming traffic in the LAN","Is not under the control of the HSRP protocol","D",""
"85. In case of failure of a geographical link connected to an HSRP router in Active state:","The HSRP protocol might change the status of the interface in Active state when the function ""track"" is enabled","The HSRP protocol automatically elects the other router as Active","The HSRP protocol will not change the status of the routers (i.e. the current router will still be Active)","The HSRP protocol will send an ICMP Router Redirect message to all the hosts on the LAN in order to force them to change their default gateway and to use the second router","A",""
"86. The phenomenon of flooding of packets on networks that have a redundant default gateway managed by HSRP:","Can occur when there are asymmetric paths (ingress/ egress) of traffic","Can happen only in case of problems on the Spanning Tree Protocol","Can happen only in case some broadcast frames are transmitted","Can never happen","A",""
"87. We usually define a wire-speed (or full-speeLayer-3 switch if it is able to:","Send packets only in full-duplex mode","Send packets only in half-duplex mode","Send packets in both full-duplex and half-duplex mode","Forward an amount of packets equal to the traffic received on all its network interfaces at the same time and at their full rate","D",""
"88. Layer 4 switches are devices with hardware support to execute operations:","Based on information of Layer 4 and lower layers","Based on information of Layer 4 and higher layers","Based only on Layer 4 information","Based only on Layers 3 and 4 information","A",""
"89. In the design of the core portion of a campus network, it should be better to select network devices:","That are able to compute quickly the routing tables","That are able to manage very big routing table","With high data forwarding capacity","That are able to support a high number of different data link technologies","C",""
"90. In case of a network that uses multilayer switches (L2-L3 switches):","Each link that connects a host to the switch is served by an IP network with netmask/30","Each device (switch) has an IP address for each VLAN","The network manager can decide, for each interface of the switch, if it must be configured at level 2 or level 3","We need to use VLANs","C",""
"91. In case of a network that uses multilayer switches (L2-L3 switches), with the Spanning Tree turned on:","We need first to determine the outcome of Spanning Tree, and then which are the HSRP active/standby routers","We need first to determine which are the HSRP active/standby routers, and then the outcome of Spanning Tree","The HSRP active/standby routers and outcome of Spanning Tree are independent issues, although we should determine both","We need to determine the outcome of Spanning Tree","D",""
"92. In case of a network that uses multilayer switches (L2-3 switches):","Paths are more optimized if the root bridge overlaps with the possible active router deter- mined by HSRP/VRRP","Paths are more optimized if the root bridge does not overlap with the possible active router determined by HSRP/VRRP","The path determined by the Spanning Tree and the possible active router determined by HSRP/VRRP are indipendent concepts and therefore they do not affect how traffic is propogated over the network","Paths mainly depend on the configuration of level 3 addresses associated with VLANs","A",""
"93. In a Content Delivery Network, the content of a server (e.g. web pages) are replicated and:","Distributed over the network, provided that all servers are physically close together","Distributed over the network, provided that all servers are physically far each other","Distributed over the network, no matter of the physical location of servers","Distributed over the network, provided that all servers belong to the same IP subnet","C",""
"94. In a DNS-based Content Delivery Network:","The DNS answers to users' HTTP requests redirecting them to the nearest cache","The DNS answers to domain names requests (e.g ""cnn.com"") redirecting them to the nearest DNS cache","The DNS returns an IP address according to the requested DNS name (e.g. ""[www.cnn.com](https://www.cnn.com)"") and the source IP address of the client","The DNS returns an IP address according to the requested DNSname (e.g. ""[www.cnn.com](https://www.cnn.com)"") and the destination IP address of the client","C",""
"95. A Load Balancing Server can operate according to the following principles:","Content-unaware (layer 4 switching) and Content-aware (layer 7 switching)","Content-unaware (layer 7 switching) and Content-aware (layer 4 switching)","Content-unaware (layer 4 switching) and DNS-based Routing","DNS-based Routing and Content-aware (layer 7 switching)","A",""
"96. A Content-unaware Load Balancing Server is able to distribute the load according to:","Information present in layer 3, 4 protocols and to the DNS name requested","Information present in layer 3 and 4","Information present in layer 4 and 7","Information present in layer 2, 3, 4 and 7","B",""
"97. A Sticky Connection:","Identifies an HTTP connection whose state must be maintained for the entire duration of connection","Identify the set of HTTP connections that share some common state (e.g. shopping chart)","Requires that the Server Load Balancer forwards the traffic of a user always to the same physical server","Requires that the web server involved in the transaction stores user data on the same disk of the Storage Area Network","B",""
"98. In the event that a user connects to a web service that is powered by a battery of physical servers behind a Load Balancer Server, the use of cookies within HTTP sessions:","It may be necessary to handle sticky connections","It may be necessary to store the credentials of a user","It is a technique commonly used to violate privacy of the user","It is a technique to create persistent pop-ups on the user desktop","A",""
"99. Which one among the following points does not apply to Network Attached Storage (NAS):","Most operating systems are able to mount a shared disk without additional drivers","The NAS is able to operate on Wide Area Networks","Minimum impact on existing infrastructure","The client have full control over the disc","D",""
"100. A Network Attached Storage (NAS):","It is typically used to allow the client to boot from the network","It is typically used to share the disks on Wide Area Networks","Allows clients to have full control over the disc","It has a minimal impact on network infrastructure and existing software","D",""
"101. In Storage Area Networks (SAN), the virtualization of the storage space is implemented at:","File system level","Physical level (blocks on the disk)","At choice, File System or Physical level (blocks on the disk)","Physical level (blocks on the disk) as long as you use a set of specific File Systems","B",""
"102. A possible protocol stack used in a Storage Area Network (SAN) is:","Fiber Channel - Ethernet","Fiber Channel IP Ethernet","iSCSI UDP IP Ethernet","CIFSTCP-IP Ethernet","A",""
"103. The IEEE 802.1x standard describes the behavior of the EAPOL authentication protocol, which is used to allow the communication between:","Supplicant and Authentication server","Authenticator and Authentication server","Supplicant and Authenticator","Supplicant and Authenticator, and then between Authenticator and Authentication server","C",""
"104. The EAPOL protocol defined in the standard IEEE 802.1x is a:","Layer 2 protocol","Layer 3 protocol","Layer 4 protocol","Layer 7 protocol","A",""
"105. Inside the IEEE 802.1x specification, the RADIUS protocol:","Defines the necessary data to the authentication of the user","Transports the data concerning the authentication of the user to the RADIUS authentication server","Allows the RADIUS authentication server to communicate with the server that keeps the database of the users (es. LDAP, Active Directory, etc.) in the selected domain","Allows the exchange of appropriate authentication messages between the client (supplicant) and the access Server (Authenticator)","B",""
"106. The dynamic associations of a port on a switch to a VLAN that depends on the user that is currently connecting over that port:","Cannot be done","Is the default solution in VLAN configuration","Can be done through a particular extension of the protocol 802.1x","Can be done only if the user station has the port configured as ""trunk""","C",""
"107. The protocol 802.1x recognizes the user according to:","Proper credentials (e.g. Username/password)","The MAC address of the Network Interface Card (NIof the user","The IP address configured on the interface of the host","The DNS name associated to the user","A",""
